actID,tituloNormalizado_CORDIS,tituloNormalizado_RP,Reference,projectID,num_palabras_titulo_CORDIS,num_palabras_titulo_RP,objective_x,objective_y
act544595,enhancing the responsible and sustainable expansion of the science shops ecosystem in europe,scishopseu enhancing the responsible and sustainable expansion of the science shops ecosystem in europe,GA-741657-SciShops.eu,741657,13,14,"Success of science shops is down to finding a topic that is of particular interest to a particular group of people because they need to engage throughout the science shops research process, participate in the brokering and challenge identification and take responsibility for the outcome of the process. SciShops aims at expanding and further building on the capacity of the science shops ecosystem in Europe and beyond. During the SciShops project timeframe, at least ten new university- and non-university-based science shops are being established in Europe by project partners. The non-university ones are affiliated to different types of organizations, such as SMEs, LEs, NGOs/NPOs and research institutes. The project partners have extensive networks of science shops which are included in the SciShops Expert and Advisory Board and thus they can uptake first the solutions developed within the project: the SciShops Knowledge Exchange Roadmap, the SciShops Strategy for Community-Based Participatory Research and Science Shops Further Development, SciShops Guide for Establishment and Running of a Science Shop or the SciShops Web platform with its novel twining, matchmaking and awareness features. Through the use of the platform, organizations willing to establish a science shop are able to find a research organization which can support them with research services or they can be twinned with an experienced similar science shop which will help with the establishment and development of the new one. The SciShops consortium has as a top priority to prove the benefits of starting a science shop for every type of organization, but also the advantages the civil society gains from collaborating with science shops in community-based participatory research. The participatory knowledge transfer and exchange events organized during the project timeline will raise awareness on this win-win concept.","Success of science shops is down to finding a topic that is of particular interest to a particular group of people because they need to engage throughout the science shops research process, participate in the brokering and challenge identification and take responsibility for the outcome of the process. SciShops aims at expanding and further building on the capacity of the science shops ecosystem in Europe and beyond. During the SciShops project timeframe, at least ten new university- and non-university-based science shops are being established in Europe by project partners. The non-university ones are affiliated to different types of organizations, such as SMEs, LEs, NGOs/NPOs and research institutes. The project partners have extensive networks of science shops which are included in the SciShops Expert and Advisory Board and thus they can uptake first the solutions developed within the project: the SciShops Knowledge Exchange Roadmap, the SciShops Strategy for Community-Based Participatory Research and Science Shops Further Development, SciShops Guide for Establishment and Running of a Science Shop or the SciShops Web platform with its novel twining, matchmaking and awareness features. Through the use of the platform, organizations willing to establish a science shop are able to find a research organization which can support them with research services or they can be twinned with an experienced similar science shop which will help with the establishment and development of the new one. The SciShops consortium has as a top priority to prove the benefits of starting a science shop for every type of organization, but also the advantages the civil society gains from collaborating with science shops in community-based participatory research. The participatory knowledge transfer and exchange events organized during the project timeline will raise awareness on this win-win concept."
act560121,cognitive decentralised edge cloud orchestration,codeco  cognitive decentralised edge cloud orchestration,101092696,101092696,5,6,"CODECO is a  cognitive, cross-layer and highly adaptive Edge-Cloud management framework with a unique orchestration approach that provides support for data management and governance decentralised data workflow; dynamic offloading of computation and computation status; and adaptive networking services (TRL5).  In the core of the CODECO framework are privacy preserving decentralised learning  mechanisms to i) reduce latency and power consumption from the far Edge to Cloud; ii) adjust the computation in real-time to available Edge-Cloud constraints; iii) adjust running services into the needs of the application, the data sources, the surrounding context; iv) benefit from a flexible networking infrastructure that adapts to the needs of active services; and v) democratize the technology to a faster market adoption of the toolkit, as well as products and services derived from it. CODECO proposes the following assets: i) A1: Open, cognitive toolkits and smart Apps, integrating the elastic and advanced concepts to manage, in a smart and flexible way, containerized applications across Edge and Cloud (dynamic cluster and multi-cluster environment; ii) A2: A developer-oriented open-source software repository, to be available in an early stage of the project, thus allowing for early exploitation of initial, advanced results and a better adaptation throughout the project lifetime; iii) A3: Training tools, to support the development of services based on the CODECO framework; iv) A4: Use-cases across 4 domains (Smart Cities, Energy, Manufacturing, Smar Buildings), as the basis for  experimentation and demonstrations; v) A5: Open Calls and multiple community events, based on the different use-cases and including the different CODECO stakeholders; vi) A6: CODECO integration into the large-scale EdgeNet , experimental infrastructure, to assist in the building of experimentation and novel concepts by the research community.","CODECO is a  cognitive, cross-layer and highly adaptive Edge-Cloud management framework with a unique orchestration approach that provides support for data management and governance decentralised data workflow; dynamic offloading of computation and computation status; and adaptive networking services (TRL5).  In the core of the CODECO framework are privacy preserving decentralised learning  mechanisms to i) reduce latency and power consumption from the far Edge to Cloud; ii) adjust the computation in real-time to available Edge-Cloud constraints; iii) adjust running services into the needs of the application, the data sources, the surrounding context; iv) benefit from a flexible networking infrastructure that adapts to the needs of active services; and v) democratize the technology to a faster market adoption of the toolkit, as well as products and services derived from it. CODECO proposes the following assets: i) A1: Open, cognitive toolkits and smart Apps, integrating the elastic and advanced concepts to manage, in a smart and flexible way, containerized applications across Edge and Cloud (dynamic cluster and multi-cluster environment; ii) A2: A developer-oriented open-source software repository, to be available in an early stage of the project, thus allowing for early exploitation of initial, advanced results and a better adaptation throughout the project lifetime; iii) A3: Training tools, to support the development of services based on the CODECO framework; iv) A4: Use-cases across 4 domains (Smart Cities, Energy, Manufacturing, Smar Buildings), as the basis for  experimentation and demonstrations; v) A5: Open Calls and multiple community events, based on the different use-cases and including the different CODECO stakeholders; vi) A6: CODECO integration into the large-scale EdgeNet , experimental infrastructure, to assist in the building of experimentation and novel concepts by the research community."
act545266,scientific largescale infrastructure for computingcommunication experimental studies  design study,slicesds scientific largescale infrastructure for computingcommunication experimental studies  design study,951850,951850,9,10,"Digital Infrastructures as the future Internet, constitutes the cornerstone of the digital transformation of our society. As such, Innovation in this domain represents an industrial need, a sovereignty concern and a security threat. Without Digital Infrastructure, none of the advanced services envisaged for our society is feasible. They are both highly sophisticated and diverse physical systems but at the same time, they form even more complex, evolving and massive virtual systems. Their design, deployment and operation are critical. In order to research and master Digital infrastructures, the research community needs to address significant challenges regarding their efficiency, trust, availability, reliability, range, end-to-end latency, security and privacy. Although some important work has been done on these topics, the stringent need for a scientific instrument, a test platform to support the research in this domain is an urgent concern. SLICES ambitions to provide a European-wide test-platform, providing advanced compute, storage and network components, interconnected by dedicated high-speed links. This will be the main experimental collaborative instrument for researchers at the European level, to explore and push further, the envelope of the future Internet. A strong, although fragmented expertise, exists in Europe and could be leveraged to build it. SLICES is our answer to this need. It is ambitious, practical but overall timely and necessary. The main objective of SLICES-DS is to adequately design SLICES in order to strengthen research excellence and innovation capacity of European researchers and scientists in the design and operation of Digital Infrastructures. The SLICES Design study will build upon the experience of the existing core group of partners, to prepare in details the conceptual and technical design of the new leading edge SLICES-RI for the next phases of the RI's lifecycle.","Digital Infrastructures as the future Internet, constitutes the cornerstone of the digital transformation of our society. As such, Innovation in this domain represents an industrial need, a sovereignty concern and a security threat. Without Digital Infrastructure, none of the advanced services envisaged for our society is feasible. They are both highly sophisticated and diverse physical systems but at the same time, they form even more complex, evolving and massive virtual systems. Their design, deployment and operation are critical. In order to research and master Digital infrastructures, the research community needs to address significant challenges regarding their efficiency, trust, availability, reliability, range, end-to-end latency, security and privacy. Although some important work has been done on these topics, the stringent need for a scientific instrument, a test platform to support the research in this domain is an urgent concern. SLICES ambitions to provide a European-wide test-platform, providing advanced compute, storage and network components, interconnected by dedicated high-speed links. This will be the main experimental collaborative instrument for researchers at the European level, to explore and push further, the envelope of the future Internet. A strong, although fragmented expertise, exists in Europe and could be leveraged to build it. SLICES is our answer to this need. It is ambitious, practical but overall timely and necessary. The main objective of SLICES-DS is to adequately design SLICES in order to strengthen research excellence and innovation capacity of European researchers and scientists in the design and operation of Digital Infrastructures. The SLICES Design study will build upon the experience of the existing core group of partners, to prepare in details the conceptual and technical design of the new leading edge SLICES-RI for the next phases of the RI's lifecycle."
act544687,the future of european social citizenship,the future of european social citizenship,870978; GA-870978,870978,6,6,"EUSOCIALCIT will provide scientific analysis and examine policy scenarios to strengthen European social citizenship. It focuses on three domains that mirror the building blocks of the European Pillar of Social Rights (the empowerment of citizens, fair working conditions and social inclusion) and pursues five objectives: 1.Bring together long-standing rival approaches to European social citizenship, and develop a resource-based, multi-level concept of social rights (recognizing that the resources supporting social rights can be located at EU, national and local levels).2.Understand the current state of social rights and their relationship to outcomes (social and gender inequality, poverty and precariousness).3.Diagnose the shortcomings of the institutions that generate undesirable outcomes.4.Understand attitudes, preferences and the demand for change among citizens, and the constraints and opportunities these create for the EU social agenda. 5.Develop alternative policy scenarios to strengthen European social rights, in particular to implement the European Pillar of Social Rights.This promises a more encompassing understanding of European social citizenship than existing literature now offers. We will provide new indicators and implementation studies on social investment, working conditions, minimum income protection and housing. The project is deliberately ambitious in terms of both science and policy because effective policies require in-depth analysis of current realities and alternative policy options, both empirically and conceptually. The consortium has been formed to realise that ambition, by combining academic expertise – in political science, law, sociology, social policy and economics – with practical policy experience. Our emphasis on the plurality of possible policy scenarios, on listening to citizens and co-creation testifies to our conviction that an academic and policy-oriented research project should serve the public debate, not replace it.","EUSOCIALCIT will provide scientific analysis and examine policy scenarios to strengthen European social citizenship. It focuses on three domains that mirror the building blocks of the European Pillar of Social Rights (the empowerment of citizens, fair working conditions and social inclusion) and pursues five objectives: 1.Bring together long-standing rival approaches to European social citizenship, and develop a resource-based, multi-level concept of social rights (recognizing that the resources supporting social rights can be located at EU, national and local levels).2.Understand the current state of social rights and their relationship to outcomes (social and gender inequality, poverty and precariousness).3.Diagnose the shortcomings of the institutions that generate undesirable outcomes.4.Understand attitudes, preferences and the demand for change among citizens, and the constraints and opportunities these create for the EU social agenda. 5.Develop alternative policy scenarios to strengthen European social rights, in particular to implement the European Pillar of Social Rights.This promises a more encompassing understanding of European social citizenship than existing literature now offers. We will provide new indicators and implementation studies on social investment, working conditions, minimum income protection and housing. The project is deliberately ambitious in terms of both science and policy because effective policies require in-depth analysis of current realities and alternative policy options, both empirically and conceptually. The consortium has been formed to realise that ambition, by combining academic expertise – in political science, law, sociology, social policy and economics – with practical policy experience. Our emphasis on the plurality of possible policy scenarios, on listening to citizens and co-creation testifies to our conviction that an academic and policy-oriented research project should serve the public debate, not replace it."
act544560,nanosmells artificial remotecontrolled odorants,nanosmells artificial remotecontrolled odorants,662629,662629,4,4,"""Despite years of promise, an odor-emitting component in devices such as televisions, phones, computers and more has yet to be developed. Two major obstacles in the way of such development are poor understanding of the olfactory code (the link between odorant structure, neural activity, and odor perception), and technical inability to emit odors in a reversible manner. Here we propose a novel multidisciplinary path to solving this basic scientific question (the code), and in doing so generate a solution to the technical limitation (controlled odor emission). The Bachelet lab will design DNA strands that assume a 3D structure that will specifically bind to a single type of olfactory receptor and induce signal transduction. These DNA-based """"artificial odorants"""" will be tagged with a nanoparticle that changes their conformation in response to an external electromagnetic field. Thus, we will have in hand an artificial odorant that is remotely switchable. The Hansson lab will use tissue culture cells expressing insect olfactory receptors, functional imaging, and behavioral tests to validate the function and selectivity of these switchable odorants in insects. The Carleton lab will use imaging in order to investigate the patterns of neural activity induced by these artificial odorants in rodents. The Sobel lab will apply these artificial odorants to the human olfactory system, and measure perception and neural activity following switching the artificial smell on and off. Finally, given a potential role for olfactory receptors in skin, the Del Rio lab will test the efficacy of these artificial odorants in promoting wound healing. At the basic science level, this approach may allow solving the combinatorial code of olfaction. At the technology level, beyond novel pharmacology, we will provide proof-of-concept for countless novel applications ranging from insect pest-control to odor-controlled environments and odor-emitting devices such as televisions, phones, and computers.""","""Despite years of promise, an odor-emitting component in devices such as televisions, phones, computers and more has yet to be developed. Two major obstacles in the way of such development are poor understanding of the olfactory code (the link between odorant structure, neural activity, and odor perception), and technical inability to emit odors in a reversible manner. Here we propose a novel multidisciplinary path to solving this basic scientific question (the code), and in doing so generate a solution to the technical limitation (controlled odor emission). The Bachelet lab will design DNA strands that assume a 3D structure that will specifically bind to a single type of olfactory receptor and induce signal transduction. These DNA-based """"artificial odorants"""" will be tagged with a nanoparticle that changes their conformation in response to an external electromagnetic field. Thus, we will have in hand an artificial odorant that is remotely switchable. The Hansson lab will use tissue culture cells expressing insect olfactory receptors, functional imaging, and behavioral tests to validate the function and selectivity of these switchable odorants in insects. The Carleton lab will use imaging in order to investigate the patterns of neural activity induced by these artificial odorants in rodents. The Sobel lab will apply these artificial odorants to the human olfactory system, and measure perception and neural activity following switching the artificial smell on and off. Finally, given a potential role for olfactory receptors in skin, the Del Rio lab will test the efficacy of these artificial odorants in promoting wound healing. At the basic science level, this approach may allow solving the combinatorial code of olfaction. At the technology level, beyond novel pharmacology, we will provide proof-of-concept for countless novel applications ranging from insect pest-control to odor-controlled environments and odor-emitting devices such as televisions, phones, and computers."""
act544589,cror engine debris middle level impact and mechanical test,element cror engine debris middle level impact and mechanical test,GA-715873,715873,9,10,"This project focus on the analysis of different shielding configurations to protect a rear-end structure of an open rotor aircraft from an engine failure. The analysis will be performed against simple panels in the first place. The best configurations will then be studied as aircraft representative structures. Two different types of impactor will be considered from the engine failure, a metallic fragment (which will be related to an engine core part) and a composite fragment (which represents the failure of the blade).There are two overarching objectives in this project. The first one is to validate the maturity level of different technologies and structural solutions, to protect the rear-end structure from different impacts associated to engine failure. To this end both real and virtual impact tests of debris associated with the open rotor engine failure will be performed. The second objective of this project is to advance in the development of virtual testing methodologies. The economic impact of performing real experimental tests for the aircraft companies is very high, and virtual testing could diminish the number of experimental tests (and hence their economic impact).Both numerical and experimental approaches will be taken into account. Experimental tests will be performed by means of a pneumatic launcher, in order to achieve the impact velocities representatives of such event; high speed cameras, strain gauges, and 3D digital image correlation will be used to obtain the maximum quantity of data from the tests. Once impacted, non-destructive techniques will be used to determine the type and extension of the damage. Numerical simulations of the impact process will be also performed; a complete numerical methodology will be developed in order to appropriately model the phenomenon. After validation with the experimental tests, the numerical model will be used to perform parametric studies.","This project focus on the analysis of different shielding configurations to protect a rear-end structure of an open rotor aircraft from an engine failure. The analysis will be performed against simple panels in the first place. The best configurations will then be studied as aircraft representative structures. Two different types of impactor will be considered from the engine failure, a metallic fragment (which will be related to an engine core part) and a composite fragment (which represents the failure of the blade).There are two overarching objectives in this project. The first one is to validate the maturity level of different technologies and structural solutions, to protect the rear-end structure from different impacts associated to engine failure. To this end both real and virtual impact tests of debris associated with the open rotor engine failure will be performed. The second objective of this project is to advance in the development of virtual testing methodologies. The economic impact of performing real experimental tests for the aircraft companies is very high, and virtual testing could diminish the number of experimental tests (and hence their economic impact).Both numerical and experimental approaches will be taken into account. Experimental tests will be performed by means of a pneumatic launcher, in order to achieve the impact velocities representatives of such event; high speed cameras, strain gauges, and 3D digital image correlation will be used to obtain the maximum quantity of data from the tests. Once impacted, non-destructive techniques will be used to determine the type and extension of the damage. Numerical simulations of the impact process will be also performed; a complete numerical methodology will be developed in order to appropriately model the phenomenon. After validation with the experimental tests, the numerical model will be used to perform parametric studies."
act544625,historical highquality companylevel data for europe,historical highquality companylevel data for europe,GA-777489,777489,6,6,"EURHISFIRM designs a world-class research infrastructure (RI) to connect, collect, collate, align, and share detailed, reliable, and standardized long-term financial, governance, and geographical data on European companies. EURHISFIRM enables researchers, policymakers, and other stakeholders to develop and evaluate effective strategies to promote investment, economic growth and job creation. The RI provides the tools for long-term analysis highlighting the dynamics of the past and the way those dynamics structure our present and future. A few large stand-alone long-term databases have been built in Europe so far, while important resources have been invested into scattered and dispersed historical datasets. EURHISFIRM develops innovative models and technologies to spark a “Big data” revolution in historical social sciences and valorize Europe’s cultural heritage. These technologies match and collate historical data, and connect them to recent ones. They bring the next generation of data extraction and enrichment systems from digitized historical sources and web-based resources. The scaling up in the variety, quantity and quality of long-term data changes the way of conducting scientific enquiry in the historical social sciences. EURHISFIRM constitutes a vibrant and large users’ community around the innovative data and services provided. The 2016 ESFRI Roadmap identifies Big Data, interdisciplinarity and innovative ways to disseminate research products as the main science drivers for RIs in the Social Sciences and Humanities. It recognizes the need and the opportunity for RIs providing access to the European Cultural Heritage and innovative methods to analyze and integrate information extracted to broad communities. EURHISFIRM fulfills this mission in close cooperation with ESFRI Landmark CESSDA and other existing RIs in the field of Arts and Humanities, like DARIAH, within the Research Data Alliance.","EURHISFIRM designs a world-class research infrastructure (RI) to connect, collect, collate, align, and share detailed, reliable, and standardized long-term financial, governance, and geographical data on European companies. EURHISFIRM enables researchers, policymakers, and other stakeholders to develop and evaluate effective strategies to promote investment, economic growth and job creation. The RI provides the tools for long-term analysis highlighting the dynamics of the past and the way those dynamics structure our present and future. A few large stand-alone long-term databases have been built in Europe so far, while important resources have been invested into scattered and dispersed historical datasets. EURHISFIRM develops innovative models and technologies to spark a “Big data” revolution in historical social sciences and valorize Europe’s cultural heritage. These technologies match and collate historical data, and connect them to recent ones. They bring the next generation of data extraction and enrichment systems from digitized historical sources and web-based resources. The scaling up in the variety, quantity and quality of long-term data changes the way of conducting scientific enquiry in the historical social sciences. EURHISFIRM constitutes a vibrant and large users’ community around the innovative data and services provided. The 2016 ESFRI Roadmap identifies Big Data, interdisciplinarity and innovative ways to disseminate research products as the main science drivers for RIs in the Social Sciences and Humanities. It recognizes the need and the opportunity for RIs providing access to the European Cultural Heritage and innovative methods to analyze and integrate information extracted to broad communities. EURHISFIRM fulfills this mission in close cooperation with ESFRI Landmark CESSDA and other existing RIs in the field of Arts and Humanities, like DARIAH, within the Research Data Alliance."
act544741,a flagship for b5g6g vision and intelligent fabric of technology enablers connecting human physical and digital worlds,hexax a flagship for b5g6g vision and intelligent fabric of technology enablers connecting human physical and digital worlds,GA-101015956,101015956,17,18,"2030 and beyond, Europe and the world will face opportunities and challenges of growth and sustainability of tremendous magnitude; to pro-actively tackle issues of green deal efficiency, digital inclusion and assurance of health and safety in a post pandemic world will be key. A powerful vision is needed to connect physical, digital, and human worlds, firmly anchored in future wireless technology and architectural research. The Hexa-X vision  calls for an x-enabler fabric of connected intelligence, networks of networks, sustainability, global service coverage, extreme experience, and trustworthiness. Wireless technologies are of critical relevance for our society and economy today; their importance for growth will continue to steadily increase with 5G and its evolution, enabling new ecosystems and services motivated by strongly growing traffic and trillions of devices. The Hexa-X project ambition includes to develop key technology enablers in the areas of (i) fundamentally new radio access technologies at high frequencies and high-resolution localization and sensing; (ii) connected intelligence though AI-driven air interface and governance for future networks, and (iii)  6G architectural enablers for network disaggregation and dynamic dependability.Europe has been a leader in wireless network technologies for decades. It is now critical to unleash our best brains in the joint research ambition of a “flagship” project to maintain the global industry leadership for the B5G/6G era. The Hexa-X flagship is a unique effort of vision, and an opportunity for disruptive impact in sustainable growth and technology experience in Europe and worldwide!","2030 and beyond, Europe and the world will face opportunities and challenges of growth and sustainability of tremendous magnitude; to pro-actively tackle issues of green deal efficiency, digital inclusion and assurance of health and safety in a post pandemic world will be key. A powerful vision is needed to connect physical, digital, and human worlds, firmly anchored in future wireless technology and architectural research. The Hexa-X vision  calls for an x-enabler fabric of connected intelligence, networks of networks, sustainability, global service coverage, extreme experience, and trustworthiness. Wireless technologies are of critical relevance for our society and economy today; their importance for growth will continue to steadily increase with 5G and its evolution, enabling new ecosystems and services motivated by strongly growing traffic and trillions of devices. The Hexa-X project ambition includes to develop key technology enablers in the areas of (i) fundamentally new radio access technologies at high frequencies and high-resolution localization and sensing; (ii) connected intelligence though AI-driven air interface and governance for future networks, and (iii)  6G architectural enablers for network disaggregation and dynamic dependability.Europe has been a leader in wireless network technologies for decades. It is now critical to unleash our best brains in the joint research ambition of a “flagship” project to maintain the global industry leadership for the B5G/6G era. The Hexa-X flagship is a unique effort of vision, and an opportunity for disruptive impact in sustainable growth and technology experience in Europe and worldwide!"
act538512,fiberwireless integrated networks for 5th generation delivery,fiwin5g fiberwireless integrated networks for 5th generation delivery,GA-642355,642355,7,8,"This European Training Network aims to produce the next generation of early stage researchers who will enable Europe to take a leading role in the development of future devices, systems and networks supporting the 5G high-speed wireless internet. To do this, researchers must be able to work in interdisciplinary teams, integrate their activities, share expertise, and promote a vision of a converged wireless and optical devices and networks that efficiently supports the services and applications being demanded. A large number of technologies and devices will need to converge, co-exist and interoperate, and most importantly, cooperate, if this vision is to be efficiently and cost-effectively realised. A key area within this next generation jigsaw is the integration of optical fibre networks and radio networks at mm-wave frequencies, to provide high-bandwidth front/backhaul services and enable scalable and manageable networks without a highly complex interface structure and multiple overlaid protocols.FIWIN5G aims to provide doctoral students with the exposure to the range of skills, necessary to address these challenging demands. Deep technical knowledge but also key transferable skills common in entrepreneurship, management, financing as well as communication, and societal outreach. While becoming expects in one particular sub-domain, they must understand the broad context of their work, whether it is systems/network engineers understanding the devices and technologies that make up the networks or device engineers understanding the networks in which their devices will function.We draw together a range of world-leading partners, selected for their complimentary and excellence to offer a vital opportunity to advance industry’s understanding and uptake of the key technologies in this area. To provide excellent training and diverse experience of research environments, all project involve a significant period of secondment and collaboration with an industry partner.","This European Training Network aims to produce the next generation of early stage researchers who will enable Europe to take a leading role in the development of future devices, systems and networks supporting the 5G high-speed wireless internet. To do this, researchers must be able to work in interdisciplinary teams, integrate their activities, share expertise, and promote a vision of a converged wireless and optical devices and networks that efficiently supports the services and applications being demanded. A large number of technologies and devices will need to converge, co-exist and interoperate, and most importantly, cooperate, if this vision is to be efficiently and cost-effectively realised. A key area within this next generation jigsaw is the integration of optical fibre networks and radio networks at mm-wave frequencies, to provide high-bandwidth front/backhaul services and enable scalable and manageable networks without a highly complex interface structure and multiple overlaid protocols.FIWIN5G aims to provide doctoral students with the exposure to the range of skills, necessary to address these challenging demands. Deep technical knowledge but also key transferable skills common in entrepreneurship, management, financing as well as communication, and societal outreach. While becoming expects in one particular sub-domain, they must understand the broad context of their work, whether it is systems/network engineers understanding the devices and technologies that make up the networks or device engineers understanding the networks in which their devices will function.We draw together a range of world-leading partners, selected for their complimentary and excellence to offer a vital opportunity to advance industry’s understanding and uptake of the key technologies in this area. To provide excellent training and diverse experience of research environments, all project involve a significant period of secondment and collaboration with an industry partner."
act545047,global south migration and comparative integration a study of south american migrants,glam global south migration and comparative integration a study of south american migrants,101023322,101023322,12,13,"Are integration patterns of southern migrants and their children in the Global South the same as those of their counterparts in the Global North? What is the impact of migrating to the Global South vs. migrating to the Global North, for migrants and their children? GLAM builds on my research and expertise on migrant integration in the Global North to address these lacunae. The aim of GLAM is to study patterns of socioeconomic integration of South-South migrants and their children, and to provide a comparative perspective with respect to their South-North counterparts and to non-migrants in origin countries. To achieve this goal, I will study international migration waves originating in South America, and carry out my global fellowship (GF) in two of these migration waves’ main destinations: Argentina (Global South) and Spain (Global North). The project—which uses advanced quantitative methods—will consist, first, of a case study of migrant socioeconomic integration in Argentina. And, second, of a multisite study that compares the socioeconomic integration of selected southern migrant groups in Argentina, Spain and Italy, and identifies their socioeconomic gains (and loses) in relation to non-migrants at origin. In Argentina I will be based at IDAES, a renowned social science research centre at the National University of San Martin. I will be trained on South-South migration and comparative approaches, and my work supervised by a leading migration scholar in South America, Prof. Marcela Cerrutti. The entire GF will be supervised by Prof. Javier Polavieja, director of the D-Lab, a leading research centre on inequality and discrimination at the University Carlos III Madrid. At the D-Lab, I will improve my methodological skills and contribute with my acquired Global South migration and comparative expertise. The successful completion of the GF will place me in a strong position to become an established scholar in a European institution, with strong overseas connections.","Are integration patterns of southern migrants and their children in the Global South the same as those of their counterparts in the Global North? What is the impact of migrating to the Global South vs. migrating to the Global North, for migrants and their children? GLAM builds on my research and expertise on migrant integration in the Global North to address these lacunae. The aim of GLAM is to study patterns of socioeconomic integration of South-South migrants and their children, and to provide a comparative perspective with respect to their South-North counterparts and to non-migrants in origin countries. To achieve this goal, I will study international migration waves originating in South America, and carry out my global fellowship (GF) in two of these migration waves’ main destinations: Argentina (Global South) and Spain (Global North). The project—which uses advanced quantitative methods—will consist, first, of a case study of migrant socioeconomic integration in Argentina. And, second, of a multisite study that compares the socioeconomic integration of selected southern migrant groups in Argentina, Spain and Italy, and identifies their socioeconomic gains (and loses) in relation to non-migrants at origin. In Argentina I will be based at IDAES, a renowned social science research centre at the National University of San Martin. I will be trained on South-South migration and comparative approaches, and my work supervised by a leading migration scholar in South America, Prof. Marcela Cerrutti. The entire GF will be supervised by Prof. Javier Polavieja, director of the D-Lab, a leading research centre on inequality and discrimination at the University Carlos III Madrid. At the D-Lab, I will improve my methodological skills and contribute with my acquired Global South migration and comparative expertise. The successful completion of the GF will place me in a strong position to become an established scholar in a European institution, with strong overseas connections."
act541956,migrant integration cockpits and dashboards,micado migrant integration cockpits and dashboards third party art 11,822717,822717,5,10,"""In """"MICADO: Migrant Integration Cockpits and Dashboards"""", experts from public administration, migration research, and IT create an EU-wide applicable business intelligence solution in support of migrant integration, and pilot it in Antwerp, Bologna, Hamburg, and Madrid. The solution leverages existing and new data to design attractive digital services for three user groups: 1) public authorities for labour, health, education and housing, 2) engaged civic society, and 3) migrants and refugees. Added value is generated by a) delivery of customized information and services via user-centric interfaces (dashboards, cockpits); b) gathering of data consensually provided by migrants and helpers in their cockpits; c) creation of strategic operational knowledge through data analysis and visualisation; and d) direct communication and data exchange between involved stakeholders and institutions. Key technical innovations are chatbot language interfaces and automatic translation services for the migrants' cockpit, which facilitate access to integration services, communication with authorities, and data acquisition. Besides the technical solution, MICADO creates in local co-design sessions a universal service package, e.g. location and activity mapping, personal profiling, or matchmaking for mentors, jobs, education, etc. The workplan ensures extensive demand analysis and co-creation with user groups in the pilot locations. This identifies common challenges for the concept convergence phase, which produces the requirements for technical design and development. A resulting “universal” MICADO solution has monitored pilot implementations in the four cities, results of which are fed back into final iterations of technical development of the project partners. In the final project phase, co-development activities with local communities and institutions ensure uptake and local adaptation of the basic MICADO solution, and initiate context-specific modifications.""","""In """"MICADO: Migrant Integration Cockpits and Dashboards"""", experts from public administration, migration research, and IT create an EU-wide applicable business intelligence solution in support of migrant integration, and pilot it in Antwerp, Bologna, Hamburg, and Madrid. The solution leverages existing and new data to design attractive digital services for three user groups: 1) public authorities for labour, health, education and housing, 2) engaged civic society, and 3) migrants and refugees. Added value is generated by a) delivery of customized information and services via user-centric interfaces (dashboards, cockpits); b) gathering of data consensually provided by migrants and helpers in their cockpits; c) creation of strategic operational knowledge through data analysis and visualisation; and d) direct communication and data exchange between involved stakeholders and institutions. Key technical innovations are chatbot language interfaces and automatic translation services for the migrants' cockpit, which facilitate access to integration services, communication with authorities, and data acquisition. Besides the technical solution, MICADO creates in local co-design sessions a universal service package, e.g. location and activity mapping, personal profiling, or matchmaking for mentors, jobs, education, etc. The workplan ensures extensive demand analysis and co-creation with user groups in the pilot locations. This identifies common challenges for the concept convergence phase, which produces the requirements for technical design and development. A resulting “universal” MICADO solution has monitored pilot implementations in the four cities, results of which are fed back into final iterations of technical development of the project partners. In the final project phase, co-development activities with local communities and institutions ensure uptake and local adaptation of the basic MICADO solution, and initiate context-specific modifications."""
